name|description|image_url|product_url|year
Donate $25|Try out these free and/or very expensive apps! Nerdwallet, Freeform, Gardenia, Farm Your Yard, Family Tree, Beli, Figma, Paku, RocketMoney, Flighty, Cronometer, Strava, Sleep Cycle, All Trails, Tripsy, 1Password, Gyroscope, Headspace, and Exist|gay.jpg|https://www.thetrevorproject.org|2023
Tricky Towers|Competitive Tetris minigames, with physics for a little extra chaos. Play with your friends online, by steam remote play, or locally.|tricky-towers-game.jpg|https://store.steampowered.com/app/437920/Tricky_Towers/|2024
Ultimate Chicken Horse|Build a platformer course one round at a time, then race to the finish. Play with your friends online, by steam remote play, or locally.|ultimate-chicken-horse-game.jpg|https://store.steampowered.com/app/386940/Ultimate_Chicken_Horse/|2024
Golf With Your Friends|Dozens of official and community made mini-golf courses. Play with your friends online, by steam remote play, or locally.|golf-with-your-friends-game.jpg|https://store.steampowered.com/app/431240/Golf_With_Your_Friends/|2024
The Jackbox Party Pack|Surely everyone has tried this by now? One person hosts on a computer, the rest connect on their phone. Built for parties.|the-jackbox-party-pack-3-game.jpg|https://store.steampowered.com/app/434170/The_Jackbox_Party_Pack_3/|2024
Overcooked 2|Run an understaffed cartoon restaurant with someone you enjoy shouting at. Play with your friends online, by steam remote play, or locally.|overcooked-2-game.jpg|https://store.steampowered.com/app/728880/Overcooked_2/|2024
Heave Ho|Climb, fling, and roll your way through short levels...or squash your friends. Play with your friends by steam remote play or locally.|heave-ho-game.jpg|https://store.steampowered.com/app/905340/Heave_Ho/|2024
Towerfall Ascension|PvP platform bow-shooting with a super high skill ceiling. Play with your friends by steam remote play or locally.|towerfall-ascension-game.jpg|https://store.steampowered.com/app/251470/TowerFall_Ascension/|2024
Broforce|Excessive force? More like excessive freedom. Classic run and gun with your bro. Play with your friends by steam remote play or locally.|broforce-game.jpg|https://store.steampowered.com/app/274190/Broforce/|2024
Celeste|Best quality of life platformer of all time. Single player.|celeste-game.jpg|https://store.steampowered.com/app/504230/Celeste/|2024
Untitled Goose Game|Terrorize the residents of a small village as a goose. Single player or local co-op.|untitled-goose-game-game.jpg|https://store.steampowered.com/app/837470/Untitled_Goose_Game/|2024
Slider|What if sliding tile puzzles were fun? An ingenious and quirky answer. Single player.|slider-game.jpg|https://store.steampowered.com/app/1916890/Slider/|2024
Pilgrims|Help solve problems for the strange characters in this half hour story. Single player.|pilgrims-game.jpg|https://store.steampowered.com/app/1049280/Pilgrims/|2024
Please Touch The Artwork|Creative puzzler creating modern art. Play the Style Gallery. Single player.|please-touch-the-artwork-game.jpg|https://store.steampowered.com/app/1097100/Please_Touch_The_Artwork/|2024
Poly Bridge|Put your engineering to the test by optimizing 2D bridges. Single player.|poly-bridge-3-game.jpg|https://store.steampowered.com/app/1850160/Poly_Bridge_3/|2024
Vampire Survivors|Survive the night horde in this themed bullet hell with addicting mechanics. Single player or steam remote play.|vampire-survivors-game.jpg|https://store.steampowered.com/app/1794680/Vampire_Survivors/|2024
Creeper World|RTS but fight against water. Single player.|creeper-world-3-arc-eternal-game.jpg|https://store.steampowered.com/app/280220/Creeper_World_3_Arc_Eternal/|2024
Shapez 2|A factory game in its simplest possible form. Single player.|shapez-2-game.jpg|https://store.steampowered.com/app/2162800/shapez_2/|2024
Unexplored|If nothing on this list has interested you, then we have different taste in games. Try out these highly rated possibilities: Peglin, Chillquarium, Loop Hero, Return of the Obra Dinn, Slay the Spire, Hollow Knight, Unpacking, Potion Permit, Rocket League, or Stardew Valley.|steam.jpg|https://store.steampowered.com/|2024
Donate $25|Steam has many free games too! Like Slider!|gay.jpg|https://www.thetrevorproject.org|2024
